pr_number,title,state,created_at,merged_at,closed_at,author,issue_number
9769,docs: add McpClientsTabs,closed,2026-04-28T08:55:18Z,2026-04-28T08:56:49Z,2026-04-28T08:56:49Z,EldarMuhamethanov,
9768,docs: add mcp documentation,closed,2026-04-28T08:25:29Z,2026-04-28T08:28:57Z,2026-04-28T08:28:57Z,EldarMuhamethanov,
9767,feat(ActionSheet): usePortal,closed,2026-04-27T16:23:40Z,2026-04-28T11:51:54Z,2026-04-28T11:51:54Z,SevereCloud,9754
9766,chore: getting rid of useDom,closed,2026-04-27T15:18:54Z,2026-04-29T14:33:35Z,2026-04-29T14:33:35Z,SevereCloud,
9765,"feat(PanelHeader,PanelHeaderContext): remove FixedLayout using",open,2026-04-27T14:54:31Z,,,EldarMuhamethanov,9357
9764,build(deps-dev): Bump @xmldom/xmldom to 0.9.10,open,2026-04-27T09:51:06Z,,,SevereCloud,
9763,chore: Deduplicate dependencies on master,closed,2026-04-27T08:53:40Z,2026-04-27T09:06:34Z,2026-04-27T09:06:34Z,vkcom-publisher,
9762,tech: remove postcssGapProperties plugin,closed,2026-04-27T07:53:23Z,2026-04-27T08:58:19Z,2026-04-27T08:58:19Z,EldarMuhamethanov,
9761,build(deps-dev): Bump cssnano from 7.1.5 to 7.1.7,closed,2026-04-27T06:14:49Z,2026-04-27T07:20:26Z,2026-04-27T07:20:26Z,dependabot[bot],
9760,build(deps-dev): Bump @biomejs/biome from 2.4.12 to 2.4.13,closed,2026-04-27T06:14:25Z,2026-04-27T07:20:31Z,2026-04-27T07:20:31Z,dependabot[bot],
9759,build(deps-dev): Bump jsdom from 29.0.2 to 29.1.0,closed,2026-04-27T06:14:00Z,2026-04-27T07:20:37Z,2026-04-27T07:20:37Z,dependabot[bot],
9758,build(deps-dev): Bump the vitest group with 2 updates,closed,2026-04-27T06:13:17Z,2026-04-27T07:20:42Z,2026-04-27T07:20:42Z,dependabot[bot],
9757,build(deps-dev): Bump stylelint from 17.8.0 to 17.9.0 in the stylelint group across 1 directory,closed,2026-04-27T06:12:37Z,2026-04-27T08:50:52Z,2026-04-27T08:50:52Z,dependabot[bot],
9756,build(deps-dev): Bump postcss from 8.5.10 to 8.5.12 in the postcss group across 1 directory,closed,2026-04-27T06:11:25Z,2026-04-27T08:49:04Z,2026-04-27T08:49:04Z,dependabot[bot],
9755,build(deps-dev): Bump postcss from 8.5.10 to 8.5.11,closed,2026-04-24T23:29:51Z,,2026-04-27T08:50:16Z,dependabot[bot],
